,File name,Latency,ECl,-105,-100,-95,-90,-85,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20
48,23o16009.abf,3.5,-73.71240457431428,-179.847412109375,-106.256103515625,-91.541748046875,-74.52146911621094,-44.517822265625,-30.011001586914062,-12.00927734375,34.62523651123047,74.41770935058594,103.65721893310547,153.29588317871094,165.57981872558594,142.84544372558594,154.63619995117188,112.51092529296875,,,
49,23o16014.abf,4.1,-57.176280430144615,-181.19993591308594,-181.927490234375,-163.04197692871094,-123.46434020996094,-132.50975036621094,-104.34202575683594,-79.61180877685547,-58.902584075927734,-39.965816497802734,-31.778562545776367,24.492185592651367,38.02978515625,53.868408203125,67.03366088867188,80.341796875,74.27862548828125,74.9058837890625,
50,23o16019.abf,5.2,-68.57650237754291,-28.843990325927734,-22.696529388427734,-23.713375091552734,-16.93359375,-10.222166061401367,-12.630614280700684,-7.792967796325684,-6.164550304412842,15.488279342651367,16.551511764526367,40.648189544677734,62.58788299560547,62.02880096435547,65.133056640625,,,,
51,23o16023.abf,4.2,-76.55198098467928,-116.95068359375,-80.9033203125,-87.22412109375,-50.894775390625,-39.725341796875,-26.057113647460938,11.728515625,39.8779296875,62.71361541748047,129.59226989746094,141.76756286621094,217.54637145996094,181.38790893554688,147.869873046875,119.35791015625,,,
52,23o16028.abf,4.9,-47.768499486125386,-277.2301940917969,-174.44088745117188,-228.03952026367188,-226.45993041992188,-168.79515075683594,-150.71653747558594,-121.04612731933594,-103.31786346435547,-77.32299041748047,-67.83080291748047,-47.694087982177734,-38.16650390625,47.35107421875,52.945526123046875,53.405792236328125,-62.08734130859375,52.9307861328125,65.443115234375
53,23o16033.abf,3.6,-68.22897342616908,-300.1855163574219,-184.26144409179688,-212.39987182617188,-166.49656677246094,-116.64183807373047,-96.67479705810547,-59.22118377685547,-17.94677734375,32.720947265625,88.69506072998047,147.01416015625,147.25340270996094,-244.45919799804688,260.07080078125,264.869384765625,226.52960205078125,183.69873046875,187.6390380859375
54,23o16038.abf,3.6,-47.50138005140991,-370.88616943359375,-231.28660583496094,-217.12889099121094,-250.96066284179688,-213.17013549804688,-172.576904296875,-158.86595153808594,-126.50267028808594,-113.74999237060547,-106.63328552246094,-63.359371185302734,-55.256343841552734,55.3173828125,68.1982421875,69.561767578125,43.89276123046875,41.4732666015625,42.650146484375
55,23o19013.abf,4.2,-72.52374091524517,-92.69529724121094,-62.64769744873047,-73.33739471435547,-69.42626190185547,-52.285152435302734,-22.362056732177734,-15.97900390625,16.285398483276367,35.989986419677734,45.48217010498047,81.802978515625,123.63890075683594,128.5888671875,161.69676208496094,117.957763671875,112.213134765625,,
56,23o19019.abf,3.6,-66.91757731836692,-197.98707580566406,-138.92210388183594,-119.77659606933594,-97.86742401123047,-84.19554901123047,-70.469970703125,-48.837886810302734,-23.684080123901367,14.733882904052734,49.51659393310547,69.505615234375,101.297607421875,150.51271057128906,152.00079345703125,122.313232421875,,,
57,23o19029.abf,3.6,-62.47115694198728,-138.70970153808594,-158.43624877929688,-125.17455291748047,-122.01049041748047,-106.40135955810547,-81.83592224121094,-66.35498046875,-36.387935638427734,-19.157712936401367,18.720701217651367,51.82128143310547,80.5908203125,124.76927185058594,150.51025390625,203.34349060058594,186.871337890625,144.37506103515625,
58,23o19033.abf,3.8,-82.78021619268718,-100.91429901123047,-84.80467987060547,-61.79320526123047,-42.023921966552734,-14.940185546875,18.712158203125,49.320064544677734,78.41674041748047,126.70043182373047,154.32737731933594,200.80931091308594,254.94137573242188,310.9789733886719,328.6572265625,275.218505859375,250.709228515625,,
59,23o19038.abf,3.7,-72.44388388625565,-95.96678924560547,-95.31005096435547,-88.74144744873047,-60.64330291748047,-61.938472747802734,-32.030025482177734,-17.070310592651367,16.320798873901367,31.990964889526367,57.257076263427734,74.208984375,160.26243591308594,213.91232299804688,131.663818359375,146.76022338867188,120.262451171875,116.6014404296875,
60,23o19043.abf,3.8,-73.985488466679,-201.45504760742188,-146.63330078125,-113.92333221435547,-100.93138122558594,-68.353271484375,-42.41942596435547,-7.646483421325684,30.039058685302734,70.638427734375,104.67771911621094,160.013427734375,187.10935974121094,221.69436645507812,161.9189453125,173.092041015625,175.543212890625,166.6160888671875,146.54541015625
61,23o19059.abf,5.7,-92.40382119164293,-17.403564453125,-17.467041015625,-7.133785247802734,6.605224609375,8.460693359375,14.711912155151367,15.589597702026367,18.631589889526367,28.697505950927734,42.534175872802734,47.041015625,,,,,,,
62,23o19064.abf,3.7,-75.56885423243874,-194.28341674804688,-147.0068359375,-132.49755859375,-97.30101776123047,-66.38427734375,-48.085933685302734,6.173095703125,36.610103607177734,78.74999237060547,122.07884216308594,180.255126953125,232.69651794433594,238.721923828125,227.81494140625,217.05560302734375,,,
63,23o19071.abf,4.0,-77.91201455146921,-55.895992279052734,-51.8359375,-22.23632049560547,-21.4013671875,-22.862548828125,-13.331296920776367,18.592529296875,17.1923828125,17.635513305664062,21.927490234375,33.448455810546875,37.010528564453125,38.6988525390625,46.46722412109375,,,,
64,23o19082.abf,6.9,-77.59281881692206,-6.575923919677734,-5.28564453125,-5.888671875,-7.5390625,-8.626708030700684,-8.183592796325684,8.814697265625,10.92041015625,-15.32958984375,21.04736328125,29.90843963623047,35.59693908691406,,,,,,
